Padrao,Busca,DensidadeRegiao
936,BFS,0.3553417355558567
942,BFS,0.3553417355558567
996,BFS,0.3553417355558567
56,BFS,0.3553417355558567
72,BFS,0.3553417355558567
74,BFS,0.3553417355558567
83,BFS,0.3553417355558567
84,BFS,0.3553417355558567
90,BFS,0.3553417355558567
113,BFS,0.3553417355558567
125,BFS,0.3553417355558567
126,BFS,0.3553417355558567
128,BFS,0.3553417355558567
132,BFS,0.3553417355558567
138,BFS,0.3553417355558567
146,BFS,0.3553417355558567
152,BFS,0.3553417355558567
161,BFS,0.3553417355558567
173,BFS,0.3553417355558567
235,BFS,0.3553417355558567
238,BFS,0.3553417355558567
247,BFS,0.3553417355558567
258,BFS,0.3553417355558567
267,BFS,0.3553417355558567
313,BFS,0.3553417355558567
353,BFS,0.3553417355558567
366,BFS,0.3553417355558567
393,BFS,0.3553417355558567
404,BFS,0.3553417355558567
432,BFS,0.3553417355558567
437,BFS,0.3553417355558567
447,BFS,0.3553417355558567
479,BFS,0.3553417355558567
497,BFS,0.3553417355558567
516,BFS,0.3553417355558567
521,BFS,0.3553417355558567
535,BFS,0.3553417355558567
539,BFS,0.3553417355558567
584,BFS,0.3553417355558567
590,BFS,0.3553417355558567
609,BFS,0.3553417355558567
612,BFS,0.3553417355558567
657,BFS,0.3553417355558567
681,BFS,0.3553417355558567
692,BFS,0.3553417355558567
698,BFS,0.3553417355558567
718,BFS,0.3553417355558567
721,BFS,0.3553417355558567
722,BFS,0.3553417355558567
731,BFS,0.3553417355558567
760,BFS,0.3553417355558567
766,BFS,0.3553417355558567
767,BFS,0.3553417355558567
776,BFS,0.3553417355558567
797,BFS,0.3553417355558567
809,BFS,0.3553417355558567
869,BFS,0.3553417355558567
870,BFS,0.3553417355558567
886,BFS,0.3553417355558567
891,BFS,0.3553417355558567
910,BFS,0.3553417355558567
914,BFS,0.3553417355558567
921,BFS,0.3553417355558567
977,BFS,0.3553417355558567
978,BFS,0.3553417355558567
993,BFS,0.3553417355558567
45,BFS,0.3553417355558567
63,BFS,0.3553417355558567
139,BFS,0.3553417355558567
150,BFS,0.3553417355558567
179,BFS,0.3553417355558567
220,BFS,0.3553417355558567
253,BFS,0.3553417355558567
272,BFS,0.3553417355558567
285,BFS,0.3553417355558567
306,BFS,0.3553417355558567
330,BFS,0.3553417355558567
340,BFS,0.3553417355558567
354,BFS,0.3553417355558567
355,BFS,0.3553417355558567
376,BFS,0.3553417355558567
385,BFS,0.3553417355558567
409,BFS,0.3553417355558567
419,BFS,0.3553417355558567
421,BFS,0.3553417355558567
442,BFS,0.3553417355558567
461,BFS,0.3553417355558567
491,BFS,0.3553417355558567
567,BFS,0.3553417355558567
624,BFS,0.3553417355558567
645,BFS,0.3553417355558567
683,BFS,0.3553417355558567
708,BFS,0.3553417355558567
815,BFS,0.3553417355558567
834,BFS,0.3553417355558567
852,BFS,0.3553417355558567
866,BFS,0.3553417355558567
897,BFS,0.3553417355558567
935,BFS,0.3553417355558567
973,BFS,0.3553417355558567
992,BFS,0.3553417355558567
180,BFS,0.3553417355558567
278,BFS,0.3553417355558567
554,BFS,0.3553417355558567
602,BFS,0.3553417355558567
608,BFS,0.3553417355558567
714,BFS,0.3553417355558567
872,BFS,0.3553417355558567
999,BFS,0.3553417355558567
32,BFS,0.3553417355558567
207,BFS,0.3553417355558567
234,BFS,0.3553417355558567
524,BFS,0.3553417355558567
680,BFS,0.3553417355558567
796,BFS,0.3553417355558567
170,BFS,0.3553417355558567
271,BFS,0.3553417355558567
345,BFS,0.3553417355558567
356,BFS,0.3553417355558567
541,BFS,0.3553417355558567
572,BFS,0.3553417355558567
901,BFS,0.3553417355558567
967,BFS,0.3553417355558567
86,BFS,0.3553417355558567
369,BFS,0.3553417355558567
438,BFS,0.3553417355558567
